Title,Company,Location,Description,Date
Teaching Assistant (2 Posts) -  Department of Crop and Soil Sciences,Lupane State University,N/A,Applications are invited from suitably qualified and experienced candidates for the following posts: Department of Crop and Soil Sciences Teaching Assistant (2 Posts),2025-04-15
Network Engineer (1 Post),Lupane State University,N/A,Applications are invited from suitably qualified and experienced candidates for the following posts: Network Engineer (1 Post),2025-04-15
Technician-Horticulture (1 Post),Lupane State University,N/A,Applications are invited from suitably qualified and experienced candidates for the following posts: Department of Crop and Soil Sciences Technician-Horticulture (1 Post),2025-04-15
Cyber Security Engineer (1 Post),Lupane State University,N/A,Applications are invited from suitably qualified and experienced candidates for the following posts: INFORMATION & COMMUNICATION TECHNOLOGY SERVICES (ICTS) Cyber Security Engineer (1 Post),2025-04-15
Technician (1 Post),Lupane State University,N/A,Applications are invited from suitably qualified and experienced candidates for the following posts: FACULTY OF ENGINEERING AND APPLIED SCIENCES Department of Production Engineering Technician (1 Post),2025-04-15
Systems Engineer (1 Post),Lupane State University,N/A,Applications are invited from suitably qualified and experienced candidates for the following posts: 1. INFORMATION & COMMUNICATION TECHNOLOGY SERVICES (ICTS) 1.1 Systems Engineer (1 Post),2025-04-15
SALES & MARKETING: Bulawayo based candidates only apply,Repoquad Investments Pty ltd,N/A,Manning Front sales office business development & marketing company products.,2025-04-15
ACCOUNTS ADMINISTRATOR,Power Systems Africa,N/A,A fast growing Engineering company in is in search of an Accounts Administrator. The ideal candidate must have a relevant Degree/HND in Accounting/ Finance . Applicants must have experience in dealing with ZIMRA issues and day to day accounting and financial administration issues. Previous accounting in a commercial sector experience …,2025-04-15
ACCOUNTANT : only Bulawayo based candidates apply please.,Repoquad Investments Pty ltd,N/A,Supervision & Leading of Accounts department,2025-04-15
Technician – Physical Geography (1post),Midlands State University MSU,N/A,"Applications are invited from suitably qualified and experienced persons for the following posts: FACULTY OF SOCIAL SCIENCES Department of Geography, Environmental Sustainability and Resilience Building Post: Technician – Physical Geography (1post)",2025-04-15
Finance Manager Corporate,Telone,N/A,Job Title: Finance Manager Corporate Grade: D3 Station: Runhare House Vacancy Number: 4/2025 We are looking for a Finance Manager Corporate. The incumbent will be reporting to the Head of Financial Reporting. Basic Function To develop and implement a financial accounting strategy within policy guidelines relating to internal controls and …,2025-04-15
Graduate Trainee - HR,KPMG,N/A,KPMG invites applications from suitably qualified candidates to fill the following position in the Human Resources department based in Harare. Graduate Trainee - HR,2025-04-15
Forklift Operator x 3,Kamativi Mining Company,N/A,"KMC is looking for skilled Forklift Operators to ensure efficient and safe material handling operations at the mine. The successful candidates will operate forklifts to load, unload, and transport materials, while adhering to safety protocols and regulations",2025-04-15
ACCOUNTS CLERK,Croco Motors,N/A,Applications are invited from interested and suitably qualified persons to fill in a vacancy that have arisen in the Group.,2025-04-15
Conducting a Gender Impact Assessment on Lithium Mining (Large Scale and ASM) in Zimbabwe,Zimbabwe Environmental Law Association (ZELA),N/A,"Background The global decarbonization agenda to transition from fossil fuels to renewable energy sources has emerged as a critical development issue driven by the need to meet the Paris Agreement Goal. The transition has resulted in soaring demand for the so-called ‘green or transition minerals’, which are critical for meeting …",2025-04-15
"Community Health Worker (DSU) – Budiriro *3, Glen View *2, Mabvuku*1, Tafara *1 (Part-time)",Population Solutions for Health,N/A,The role is to carry out inter-personal communication activities for ‘The Strength is in You’- Anti Drug Campaign at community level.,2025-04-15
IPC Team Lead – Mabvuku and Tafara *1 (Part-time),Population Solutions for Health,N/A,The District IPC Team Lead will coordinate Community Health Workers conducting inter-personal communication activities for ‘The Strength is in You’ Anti-Drug Campaign at community level.,2025-04-15
Agronomist,Agricultural Finance Company Holdings (AFC),N/A,"ROLE PROFILE AFC Land & Development Bank, a subsidiary of AFC Holdings seeks to recruit an Agronomist. Reporting to the Head of Special Projects & Agronomy, the successful candidate will be responsible for spearheading the agricultural advisory services of the Bank with view to assist Clients improve their crop yields.",2025-04-15
Head Finance and Administration,Agricultural Finance Company Holdings (AFC),N/A,"AFC Land & Development Bank, a subsidiary of AFC Holdings seeks to recruit a Head of Finance & Administration. Reporting to the Director Finance, Treasury & Administration, the successful candidate will be responsible for superintending over all financial activities of the Bank, including planning, budgeting, forecasting, and ensuring compliance with …",2025-04-15
Assistant Accountant - Debtors,Sable Foods,N/A,Applicants are invited from suitably qualified and experienced person to fill the following urgent position that has arisen in our dynamic organization. Assistant Accountant - Debtors The incumbent will be reporting to the Accountant and will be responsible for the following among other duties:,2025-04-15
PROCUREMENT OFFICER,Medical and Dental Council of Zimbabwe,N/A,The following vacancy has arisen within the Council and suitably qualified candidates are invited to apply for the post of: PROCUREMENT OFFICER – HARARE OFFICE Reporting to the Registrar who is also the Chief Executive Officer of the MDPCZ.,2025-04-15
Sales and Marketing Trainees – Advanced Level students only (No tertiary qualification & experience),July28 Private Limited,N/A,"This is a fulltime on-site role for a Sales and Marketing Trainee, located in Harare, Zimbabwe. The Sales and Marketing Trainee will be responsible for assisting in the development and execution of sales strategies, providing excellent customer service and supporting sales management activities. Daily tasks include communication with clients, customer …",2025-04-15
ASSISTANT REGISTRATION SECRETARY,Medical and Dental Council of Zimbabwe,N/A,The following vacancy has arisen within the Council and suitably qualified candidates are invited to apply for the post of: ONE YEAR FIXED TERM CONTRACT ASSISTANT REGISTRATION SECRETARY – HARARE OFFICE Reporting to the Administrative Officer of the MDPCZ.,2025-04-15
"Monitoring, Evaluation, Accountability, Learning and Safeguarding Officer",Christian Aid,N/A,"Christian Aid exists to create a world where everyone can live a full life, free from poverty. We are a global movement of people, churches and local organisations who passionately champion dignity, equality and justice worldwide. We are the changemakers, the peacemakers, the mighty of heart. We’re committed to building …",2025-04-15
Auto Electrician,Turbomining (Pvt) Ltd,N/A,"To competently carryout out all auto-electrical fleet maintenance activities by ensuring consistent service availability to user departments by inspecting, carrying out routine, preventative and scheduled/planned maintenance activities. Should also perform the disassembling and assembling of related equipment and accessories from technical manuals, written procedures and/or verbal instructions while enforcing adherence …",2025-04-15
Electrician,Turbomining (Pvt) Ltd,N/A,"We are currently seeking for a Class 1 Electrician with great communication skills, excellent team player who is highly safety conscious and self-motivated. The individual will be responsible to coordinate electrical operations at the mine effectively and safely to ensure high productivity while enforcing adherence to all company safety and …",2025-04-15
Diesel Plant Fitter/Artisan Mechanic,Turbomining (Pvt) Ltd,N/A,"Under the general direction of the Assistant Workshop Manager, the artisan shall be responsible to competently keep business unit fleet to a 100% productivity availability to all user departments. This shall be accomplished through performing routine inspections; preventative and scheduled/planned maintenance activities; repairs; rebuilds and attending to breakdowns following written …",2025-04-15
VPS and Systems Engineer,Webdev Group,N/A,"Applications are invited from suitably qualified candidates for the above vacant position. Webdev (Pvt) Ltd is Zimbabwe’s leading web & e-mail hosting, online marketing, e-commerce, online payments and web development company, a multi-award-winning company and also a market leader. Webdev is an employer of equal opportunity and offers a competitive …",2025-04-15
Fitter,Turbomining (Pvt) Ltd,N/A,The incumbent will be responsible for overall maintenance and repairs of the mechanical plant and equipment to ensure that plant availability and utilization are met and within budget,2025-04-15
Boilermaker,Turbomining (Pvt) Ltd,N/A,"We are currently seeking for Boilermakers who constructs, fabricates, assembles, install, maintain, and repair tanks, pressure vessels and is proficient in maintenance works. Should also be well versed in safe working practices.",2025-04-15
Terms of Reference for Policy Position Paper Development Midlands Inclusive Eye Health Project,HelpAge Zimbabwe,N/A,1. Background The Midlands Inclusive Eye Health project has been running since July 2022 and is focused on improving the quantity and quality of eye health services in the Midlands Province. HelpAge Zimbabwe has been supporting Ministry of Health Child Care in implementing this project with funding support from CBMG- …,2025-04-15
DENTAL & MEDICAL SURGERY ASSISTANT/NURSE AIDE ATTACHEE,DOMBOSHAVA MEDCLINIC,N/A,This is not a position for chancers. Only those who comply with minimum listed requirements can apply. What is a dental surgery assistant? This is a trainee position not a job offer. During and after training your responsibilities may include preparing patients and the operating room for the dentist. You …,2025-04-15
Consultancy for the development of World Wide Fund for Nature (WWF) Zimbabwe’s 5-year Strategic Plan (2026-2030),WWF Zimbabwe,N/A,"2. Introduction The World Wide Fund for Nature (WWF) Zimbabwe is seeking a qualified consultant to support the development of its organizational strategy. The consultant will be required to review existing compiled templates, facilitate strategy development workshops, and produce the final strategic plan. This consultancy will take place over a …",2025-04-15
2025/2026 Supplier Registration,CLAMORE SOLAR,N/A,"Applications are invited from existing and prospective suppliers, with proven experience working with NGOs, to a mandatory supplier registration process. Clamore Solar spans experience over two decades and seeks to work with reputable companies from, but not limited to, SMEs, individuals, the youth and female-owned enterprises in the below categories: …",2025-04-15
Invitation For Supplier Registration,The Halo Trust,N/A,"The HALO Trust is an International Non-Governmental Organization dedicated to supporting countries in their recovery after conflicts. Since 2013, HALO has been actively engaged in Zimbabwe, focusing on the critical task of clearing landmines in the northeast region of the country. This essential work is vital for saving lives and …",2025-04-15
PARTS TRAINEES,Croco Motors,N/A,Croco Holdings (Pvt) Ltd intends to enroll candidates in the following discipline: Parts Trainees,2025-04-15
Shop Sales Person - Gweru,FIRST PACK SERVICES PVT LTD,N/A,We are seeking a self-driven and vibrant Shop Sales Person to join our Gweru Shop for ICT Sales.,2025-04-15
Recoveries Officer,Probfix Financial Services (Pvt) Ltd,N/A,We seek to hire individual to fill the position of Recoveries Officer at our Head Office in Harare. The incumbent will be reporting to the Credit and Risk Manager.,2025-04-15
State Registered Nurse,Ponai Medical Centre - Avondale Urgent Care Clinic,N/A,"Applications are invited from competent suitably qualified and experienced persons to fill in the position of State Registered Nurse based Bindura,",2025-04-15
Facilities Officer,Croco Motors,N/A,Applications are invited from interested and suitably qualified persons to fill in vacancies that have arisen in the Group.,2025-04-15
Bookkeeper,Croco Motors,N/A,Applications are invited from interested and suitably qualified persons to fill in a vacancy that has arisen in the Group.,2025-04-15
Assistant Auditor ( Hwange Mining and Processing Company,Hwange Colliery Company Limited,N/A,"VACANCY ASSISTANT AUDITOR (HWANGE MINING AND PROCESSING COMPANY) Hwange Colliery Company Limited Holdings, a diversified local mid-tier company with business interests in Mining, Real Estate, Health Care, Agriculture, Energy, and Financial Services has a vacancy under the Hwange Mining and Processing Company for an Assistant Auditor. Applications are invited from …",2025-04-15
Mine Manager,Bikita Minerals Pvt Ltd,N/A,"JOB VACANCY A highly experienced Mine Manager is sought with a demonstrable track record of contributing significantly to increased production, exceptional cost control and safety. The candidate will be joining a vibrant mining organization in the lithium industry. POSITION: Mine manager (1) The position report to the General Manager (Managing …",2025-04-15
Terms of Reference (TOR) for Soap Making Training,Impact Hub Harare,N/A,"1. Introduction Impact Hub Harare is spearheading the Digital Skills 4 Youth project, which involves the development of MakerSpaces in rural areas including Chiredzi and Tsholotsho. These spaces are designed to equip rural youth, particularly young women, with digital skills, access to technology, and mentorship in entrepreneurship. A special focus …",2025-04-15
Volunteer-Project Officer Green Project,SOS Children's Villages Zimbabwe,N/A,"Project Officer -Volunteer Green Project (JOB REF: SOS/26/3/25) Position title: ​Volunteer-Project Officer Green Project Working location: ​​Wedza Supervisor: ​ ​Family Strengthening Coordinator Context of the position Established in 1949, SOS Children's Villages International (CVI) is a dynamic, international social development organization working globally to meet the needs and protect the …",2025-04-15
